movie,actor
The French Connection,Richard Garland
The French Connection,Valérie Benguigui
The French Connection,Art LaFleur
The French Connection,John Osborne
Blowup,Jeff Anderson
Blowup,Tim Meadows
Blowup,Joan Crawford
Blowup,Honor Blackman
Breathless,Patrick Stewart
Breathless,Kay Thompson
Breathless,Gary Bakewell
Breathless,Lori Nelson
Arlington Road,Courtney Love
Arlington Road,Armand Assante
Arlington Road,Gretchen Corbett
Arlington Road,Vince Vaughn
Point Break,Kurt Raab
Point Break,Wiley Wiggins
Point Break,Sô Yamamura
Point Break,David Caruso
The Thirteenth Floor,Joseph Chan
The Thirteenth Floor,Alicia Witt
The Thirteenth Floor,Orson Bean
The Thirteenth Floor,Treat Williams
The Thing,Kurt Raab
The Thing,Lee Remick
The Thing,Erna Haffner
The Thing,Donald O'Connor
The Third Man,Anne Archer
The Third Man,Victor Buono
The Third Man,Ina Balin
The Third Man,Andrew McCarthy
Escape from New York,Matt Craven
Escape from New York,Gwen Welles
Escape from New York,Judd Nelson
Escape from New York,Cassy Friel
The Miracle Worker,Anthony Higgins
The Miracle Worker,Emma Sjöberg
The Miracle Worker,James Fleet
The Miracle Worker,Christopher Plummer
The Talented Mr. Ripley,John Terry
The Talented Mr. Ripley,James Gammon
The Talented Mr. Ripley,Sally Kirkland
The Talented Mr. Ripley,Jared Harris
The Remains of the Day,Chris Elliott
The Remains of the Day,Ciarán Hinds
The Remains of the Day,Roscoe Lee Browne
The Remains of the Day,Michelle Williams
Lonely Hearts,Rossano Brazzi
Lonely Hearts,Peter Lorre
Lonely Hearts,John Meillon
Lonely Hearts,Pamela Franklin
Sunshine,Billy Connolly
Sunshine,Woody Allen
Sunshine,Patrice Martinez
Sunshine,Penolope Wilton
Bean,Sylva Koscina
Bean,Takeshi Kitano
Bean,Burt Reynolds
Bean,Carl Reiner
The Hi-Lo Country,Sylva Koscina
The Hi-Lo Country,Takeshi Kitano
The Hi-Lo Country,Burt Reynolds
The Hi-Lo Country,Carl Reiner
Rocky,Sylva Koscina
Rocky,Richard Cox
Rocky,Brian Cox
Rocky,Bill Maher
Rocky II,Sylva Koscina
Rocky II,Richard Cox
Rocky II,Marc McClure
Rocky II,Kurt Russell
First Blood,Sylva Koscina
First Blood,Takeshi Kitano
First Blood,Burt Reynolds
First Blood,Carl Reiner
Rambo III,Sylva Koscina
Rambo III,Takeshi Kitano
Rambo III,Burt Reynolds
Rambo III,Carl Reiner
Rocky III,Sylva Koscina
Rocky III,Takeshi Kitano
Rocky III,Burt Reynolds
Rocky III,Sagamore Stévenin
Rocky IV,Cary Elwes
Rocky IV,Sophia Bush
Rocky IV,Marshall Thompson
Rocky IV,Harry Ellerbe
Rocky V,Christian Bale
Rocky V,Tony Goldwyn
Rocky V,Stacy Keach
Rocky V,Rodney Eastman
Houseboat,George Chakiris
Houseboat,Jennifer Jones
Houseboat,Michael Jeter
Houseboat,Samuel E. Wright
Gleaming the Cube,James Gandolfini
Gleaming the Cube,Sidney James
Gleaming the Cube,Beverly Lunsford
Gleaming the Cube,Dennis Storhøi
Out of Sight,Billy Crudup
Out of Sight,Daniel Southern
Out of Sight,Bruce Willis
Out of Sight,Patricia Roc
Duel at Diablo,Gaylen Ross
Duel at Diablo,Matthew McConaughey
Duel at Diablo,Frank Gallacher
Duel at Diablo,Maurice Roëves
City Slickers,Brian Kerwin
City Slickers,Caitlin Clarke
City Slickers,Dougray Scott
City Slickers,Dan O'Herlihy
Cutthroat Island,Milton Berle
Cutthroat Island,Patrick Allen
Cutthroat Island,David Della Rocco
Cutthroat Island,Darren Robinson
Dark Star,Andersen Gabrych
Dark Star,Peter Friedman
Dark Star,James Simmons
Dark Star,Laura Ramsey
The Rapture,Jeremy Davies
The Rapture,John Loder
The Rapture,Barbara Stanwyck
The Rapture,Ian McDiarmid
"""Sex",Jock Mahoney
"""Sex",Chloë Sevigny
"""Sex",Lindsey McKeon
"""Sex",Tom Ewell
M. Butterfly,Kirsten Baker
M. Butterfly,James Whitmore
M. Butterfly,Kathleen Quinlan
M. Butterfly,Josh Duhamel
Anna and the King,Charlotte Rampling
Anna and the King,Janet Landgard
Anna and the King,Orson Bean
Anna and the King,Joseph Cali
The Virgin Suicides,Peter Graves
The Virgin Suicides,Adam Storke
The Virgin Suicides,Paul Sanchez
The Virgin Suicides,Edie Adams
Touch of Evil,Michael C. Williams
Touch of Evil,Ian Hart
Touch of Evil,Britney Spears
Touch of Evil,John Omirah Miluwi
Laws of Gravity,Gérard Barray
Laws of Gravity,Arlo Guthrie
Laws of Gravity,Sig Ruman
Laws of Gravity,Lonette McKee
Get Carter,Judith Donner
Get Carter,Eli Wallach
Get Carter,Josh Mosby
Get Carter,Michel Subor
1492: Conquest of Paradise,Jennie Linden
1492: Conquest of Paradise,Stephen Rea
1492: Conquest of Paradise,Dick van Dyke
1492: Conquest of Paradise,Ron Howard
Teenage Mutant Ninja Turtles,Jason Miller
Teenage Mutant Ninja Turtles,Corbin Bernsen
Teenage Mutant Ninja Turtles,Dianna Agron
Teenage Mutant Ninja Turtles,Corey Feldman
Office Space,Khandi Alexander
Office Space,Julia Ormond
Office Space,Kevin Anderson
Office Space,William Atherton
The Lost Boys,Steve Marachuk
The Lost Boys,Dianna Agron
The Lost Boys,Kay Thompson
The Lost Boys,Joaquim de Almeida
Flatliners,Tom Tryon
Flatliners,John Lund
Flatliners,Roberta Maxwell
Flatliners,Nicole Maurey
Parenthood,Bruce Welch
Parenthood,Jeremy Davies
Parenthood,Samuel E. Wright
Parenthood,Graham Chapman
Down By Law,Robert Cummings
Down By Law,Joe Pantoliano
Down By Law,Cathy Downs
Down By Law,Frank Sinatra
Die Hard with a Vengeance,James Stacy
Die Hard with a Vengeance,John Cusack
Die Hard with a Vengeance,Siobhan McKenna
Die Hard with a Vengeance,Conrad Veidt
Raging Bull,James Stacy
Raging Bull,Donna Dixon
Raging Bull,Lionel Atwill
Raging Bull,Henry Thomas
Rope,Johnathon Schaech
Rope,Leonardo Cimino
Rope,Juliette Binoche
Rope,Darla Hood
It's a Wonderful Life,Richard Garland
It's a Wonderful Life,Edward Judd
It's a Wonderful Life,Laura Harris
It's a Wonderful Life,John Lynch
What's Eating Gilbert Grape,Peter Sarsgaard
What's Eating Gilbert Grape,Elizabeth Taylor
What's Eating Gilbert Grape,George Rose
What's Eating Gilbert Grape,Herb Edelman
Primal Fear,Robert Cummings
Primal Fear,Nick Mancuso
Primal Fear,Jessica Harper
Primal Fear,Juliette Binoche
A Shot in the Dark,Robert Cummings
A Shot in the Dark,Chazz Dominguez
A Shot in the Dark,Lillian Gish
A Shot in the Dark,Francesca Brown
Cape Fear,Sean Barry-Weske
Cape Fear,Emily Browning
Cape Fear,Craig Ferguson
Cape Fear,Pete O'Herne
A Bronx Tale,Colin Farrell
A Bronx Tale,Ruth Chatterton
A Bronx Tale,Lukas Haas
When Saturday Comes,Stephen Peace
When Saturday Comes,Billy Chapin
When Saturday Comes,Jimmy Cliff
When Saturday Comes,Bill Murray
Fever Pitch,Eddie Mayehoff
Fever Pitch,Damon Wimbley
Fever Pitch,Jamie Gillis
Fever Pitch,Demi Moore
Still Crazy,Robert Quarry
Still Crazy,Yancy Butler
Still Crazy,Jane Adams
Still Crazy,Morey Amsterdam
Trading Places,Woody Allen
Trading Places,Courtney Chase
Trading Places,Edward Judd
Trading Places,James Craig
Brubaker,Gene Evans
Brubaker,Will Smith
Brubaker,Frances Fisher
Brubaker,Brad Davis
The People vs. Larry Flynt,Kathy Baker
The People vs. Larry Flynt,Mary Steenburgen
The People vs. Larry Flynt,Mary-Kate Olsen
The People vs. Larry Flynt,Jessica Stroup
Mississippi Burning,Jason Isaacs
Mississippi Burning,Lori Nelson
Mississippi Burning,August Diehl
Mississippi Burning,Michael Lonsdale
Fried Green Tomatoes,Everett Sloane
Fried Green Tomatoes,Saundra Santiago
Fried Green Tomatoes,Djiby Soumare
Fried Green Tomatoes,Sean Barry-Weske
Free Willy,Elizabeth Daily
Free Willy,Brendan Fletcher
Free Willy,Frances McDormand
Free Willy,Oprah Winfrey
The Island,Kay Thompson
The Island,Sandra Bernhard
The Island,Dennis Hoey
The Island,Jeff Conaway
Bedazzled,Sandra Bernhard
Bedazzled,Bella Randles
Bedazzled,Maud Adams
Bedazzled,Steve Whitmire
Speed,Sandra Bernhard
Speed,Jeremy London
Speed,Dennis Lotis
Speed,Wendy Crewson
Forces of Nature,Marlene Dietrich
Forces of Nature,Maria Richwine
Forces of Nature,Jean-Pierre Cassel
Forces of Nature,Catherine An
The Net,Khandi Alexander
The Net,Jeff Anderson
The Net,Nancy Sinatra
The Net,Sandra Bernhard
Last Tango in Paris,Matthew Lillard
Last Tango in Paris,Sandra Bernhard
Last Tango in Paris,Samuel E. Wright
Last Tango in Paris,Kevin Smith
The Vanishing,Lee Majors
The Vanishing,Charles Boyer
The Vanishing,Erna Haffner
The Vanishing,Ted Sorel
A Time to Kill,Sean Patrick Flanery
A Time to Kill,Gary Merrill
A Time to Kill,Ed Flanders
A Time to Kill,Robin Williams
The Dirty Dozen,Sean Combs
The Dirty Dozen,Aldo Ray
The Dirty Dozen,Scott Caan
The Dirty Dozen,Sam Jaffe
State of Grace,Claude Akins
State of Grace,Randee Heller
State of Grace,Richard Dreyfuss
State of Grace,Nancy Fish
The Hunt for Red October,Charlotte Rampling
The Hunt for Red October,Ben Gazzara
The Hunt for Red October,Joan Hackett
The Hunt for Red October,Lee J. Cobb
Comanche Station,Rod Taylor
Comanche Station,Kim Greist
Comanche Station,Brad Renfro
Comanche Station,Natalie Portman
Will Penny,Kay Thompson
Will Penny,Brid Brennan
Will Penny,Chris Haywood
Escape from the Planet of the Apes,Jeffrey Allen
Escape from the Planet of the Apes,Brooke Shields
Escape from the Planet of the Apes,Barbara Carrera
Escape from the Planet of the Apes,David Frankham
Little Buddha,James Brown
Little Buddha,Kathy Baker
Little Buddha,Richard Elfyn
Little Buddha,Frances O’Connor
Re-animator,Nicolas Bro
Re-animator,John Cullum
Re-animator,John Mahoney
Re-animator,Vinessa Shaw
Misery,Rod Taylor
Misery,Claude Atkins
Misery,Natalie Portman
Misery,Leslie Stefanson
Con Air,Sig Ruman
Con Air,Hobart Bosworth
Con Air,Will Hutchins
Con Air,William Lundigan
Battle for the Planet of the Apes,Elizabeth Reaser
Battle for the Planet of the Apes,Rochelle Davis
Battle for the Planet of the Apes,James Cromwell
Battle for the Planet of the Apes,Carrie-Anne Moss
Copycat,Oskar Homolka
Copycat,Julie Carmen
Copycat,Cynthia Stevenson
Copycat,Bebe Neuwirth
Giant,Tisa Farrow
Giant,Charlie Tanimoto
Giant,Delphine Seyrig
Giant,Paul Robeson
Fahrenheit 451,Sean Patrick Flanery
Fahrenheit 451,Judd Nelson
Fahrenheit 451,Kate Reid
Fahrenheit 451,Patricia Charbonneau
The Cider House Rules,Andrea Eckert
The Cider House Rules,Michael Moriarty
The Cider House Rules,Woodrow Parfrey
The Cider House Rules,Herbert Marshall
All the King's Men,Natalie Trundy
All the King's Men,Richard Benjamin
All the King's Men,Rupert Graves
All the King's Men,George C. Scott
The Front,Mel Ferrer
The Front,Gokor Chivichyan
The Front,Joan Plowright
The Front,Bill Coyne
West Side Story,Peter Sarsgaard
West Side Story,Jerry Daugirda
West Side Story,Stuart Whitman
West Side Story,Lynn-Holly Johnson
Bird on a wire,Alan Randolph Scott
Bird on a wire,Liam Cunningham
Bird on a wire,Julia Ormond
Bird on a wire,Aidan Gould
The Prisoner of Zenda,Vincent Price
The Prisoner of Zenda,Stephen Macht
The Prisoner of Zenda,Tony Hawk
The Prisoner of Zenda,Chris Cooke
Michael Collins,Walter Hampden
Michael Collins,Pat Morita
Michael Collins,Kay Francis
Michael Collins,Constance Collier
City of Hope,Alain Delon
City of Hope,Ringo Starr
City of Hope,John Cameron Mitchell
City of Hope,Kevin Peter Hall
American Madness,Kate Beahan
Canadian Bacon,Kevin Anderson
Canadian Bacon,John Limnidis
Canadian Bacon,Dianna Agron
Canadian Bacon,Christopher Mitchum
Barbarella,Glenn Close
Barbarella,Dean Stockwell
Barbarella,John McEnery
Barbarella,Doris Lloyd
Footloose,David Bowie
Footloose,Glenn Close
Footloose,J. Trevor Edmond
Footloose,Barbara Harris
The Gazebo,Dick Sargent
The Gazebo,Donna Reed
The Gazebo,John David Carson
The Gazebo,Grace Kelly
Heaven with a Gun,Jonathan Pryce
Heaven with a Gun,Everett Sloane
Heaven with a Gun,Christa Denton
Heaven with a Gun,Tone Loc
Angel,Lou Eppolito
Angel,Marlene Dietrich
Angel,Joseph Scoren
Angel,Anthony Quayle
Velvet Goldmine,James Doohan
Velvet Goldmine,Rachel Ticotin
Velvet Goldmine,Natassia Malthe
Velvet Goldmine,Ryan O`Neal
Viva Zapata !,Michael Dolan
Viva Zapata !,Vic Damone
Viva Zapata !,Janet Bartley
Viva Zapata !,Yale Wexler
Nowhere,Bella Randles
Nowhere,Matt Craven
Nowhere,Linda Darnell
Nowhere,Jason London
A Chorus Line,Claire Forlani
A Chorus Line,Ann Savage
A Chorus Line,Dick Haymes
A Chorus Line,Miles Malleson
Dogma,Robert MacNaughton
Dogma,Charlotte Lewis
Dogma,Sylvia Kuumba Williams
Dogma,John Huston
Murder My Sweet,Catherine Schell
Murder My Sweet,Sean Combs
Murder My Sweet,Vinessa Shaw
Murder My Sweet,Will Hutchins
Farewell My Lovely,Jackie Chan
Farewell My Lovely,James Gandolfini
Farewell My Lovely,Christopher Atkins
Farewell My Lovely,William Conrad
Entrapment,Ellie Raab
Entrapment,Niles McMaster
Entrapment,Stephen Young
Entrapment,Henry Fonda
The Long Goodbye,Valerie Cruz
The Long Goodbye,Don Ameche
The Long Goodbye,Diana Ross
The Long Goodbye,Harrison Page
Nine Hours to Rama,Jim Brown
Nine Hours to Rama,Courtney Chase
Nine Hours to Rama,Bob Newhart
Nine Hours to Rama,Danny De La Paz
Man on the Moon,Gregory Walcott
Man on the Moon,Melody Anderson
Man on the Moon,Bel Deliá
Man on the Moon,Sienna Miller
Ninotchka,Johnathon Schaech
Ninotchka,Ben Stiller
Ninotchka,Tisa Farrow
Ninotchka,Elle Macpherson
Fear and Loathing in Las Vegas,Spencer Breslin
Fear and Loathing in Las Vegas,Sidney James
Fear and Loathing in Las Vegas,Kate del Castillo
Fear and Loathing in Las Vegas,Katharine Hepburn
Guess who's coming to dinner,Patrick Stewart
Guess who's coming to dinner,C. Aubrey Smith
Guess who's coming to dinner,LeVar Burton
Guess who's coming to dinner,Darlene Cates
Red Dawn,Marlene Dietrich
Red Dawn,Terence Stramp
Red Dawn,Everett McGill
Red Dawn,Jack Warner
The Men,Denys Hawthorne
The Men,Aneta Corsaut
The Men,Albert Finney
The Men,Aksel Hennie
Malcolm X,Ralph Fiennes
Malcolm X,Pat Hingle
Malcolm X,Randall Batinkoff
Malcolm X,Elisabeth Bergner
The Karate Kid,Kirsten Baker
The Karate Kid,Jason Robards
The Karate Kid,Judson Pratt
The Karate Kid,Ringo Starr
Marie Antoinette,Jack Lambert
Marie Antoinette,Walter Huston
Marie Antoinette,Ron Randell
Marie Antoinette,Judi Meredith
The Fortune Cookie,Marla Landi
The Fortune Cookie,William Hopper
The Fortune Cookie,Phil Spector
The Fortune Cookie,John Leyton
Children of a Lesser God,Mark Frechette
Children of a Lesser God,Harriet Lenabe
Children of a Lesser God,Carolyn Mitchell
Children of a Lesser God,David Proval
Star Wars: Episode V - The Empire Strikes Back,Natalie Bate
Star Wars: Episode V - The Empire Strikes Back,Everett Sloane
Star Wars: Episode V - The Empire Strikes Back,Liam Cunningham
Star Wars: Episode V - The Empire Strikes Back,Ian Hunter
Star Wars: Episode I - The Phantom Menace,Daniel Briquet
Star Wars: Episode I - The Phantom Menace,Trish Van Devere
Star Wars: Episode I - The Phantom Menace,Leonardo DiCaprio
Star Wars: Episode I - The Phantom Menace,Leonardo Sbaraglia
Salvador,Spencer Breslin
Salvador,Frederick Stafford
Salvador,Gene Hackman
Salvador,Dick Van Dyke
Inherit The Wind,Johnathon Schaech
Inherit The Wind,Marlene Dietrich
Inherit The Wind,Fay Wray
Inherit The Wind,Gyurme Tethong
Don Juan DeMarco,Anton Rodgers
Don Juan DeMarco,Vivien Merchant
Don Juan DeMarco,Dennis Rodman
Don Juan DeMarco,Daniel Shalikar
The 13th Warrior,Fay Compton
The 13th Warrior,Stephen Young
The 13th Warrior,Ray Wise
The 13th Warrior,Virginia Bruce
Crime of Passion,Kay Thompson
Crime of Passion,Charlie Tanimoto
Crime of Passion,Jason Gedrick
Crime of Passion,Greg Butler
Sweet November,Sherilyn Fenn
Sweet November,Mitchell Whitfield
Sweet November,Myrna Loy
Sweet November,Phillip Reed
Twin Peaks: Fire Walk With Me,Joseph Cotton
Twin Peaks: Fire Walk With Me,Geoffrey Pierson
Twin Peaks: Fire Walk With Me,Tom Welling
Twin Peaks: Fire Walk With Me,Judi Bowker
Shakespeare in Love,Robert MacNaughton
Shakespeare in Love,Marilyn Ghigliotti
Shakespeare in Love,Ronny Cox
Shakespeare in Love,Tommy Rall
River of No Return,Jean Rogers
River of No Return,Deborah Kara Unger
River of No Return,David Naughton
River of No Return,Mykelti Williamson
Bonjour tristesse,Robert MacNaughton
Bonjour tristesse,Jean Seberg
Bonjour tristesse,Molly Shannon
Bonjour tristesse,Herbert Lom
Angel Face,Gene Simmons
Angel Face,Dan O`Herlihy
Angel Face,Clifton James
Angel Face,Vincent Perez
Laura,Sidney James
Laura,Doro Merande
Laura,Sammi Kraft
Laura,Pauly Shore
Porgy and Bess,Paul Muni
Porgy and Bess,Eva Longoria Parker
Porgy and Bess,Lee Horsley
Porgy and Bess,Ralph Meeker
Exodus,Laurence Naismith
Exodus,Carol Kane
Exodus,Keenen Ivory Wayans
Exodus,Martin Walsh
Bunny Lake Is Missing,Jock Mahoney
Bunny Lake Is Missing,Liam Cunningham
Bunny Lake Is Missing,Natasha Lyonne
Bunny Lake Is Missing,Richard Lewis
Nell,Jennifer Grey
Nell,Judd Nelson
Nell,Ian Hendry
Nell,Will Smith
eXistenZ,Anthony Higgins
eXistenZ,John Hubbard
eXistenZ,Anne Archer
eXistenZ,John Getz
The Elephant Man,Rachel Ward
The Elephant Man,Vincent Klyn
The Elephant Man,Sir Cedrick Hardwicke
The Elephant Man,Kathy Baker
Swept from the Sea,Michael Dolan
Swept from the Sea,Gwen Welles
Swept from the Sea,Vidal Peterson
Swept from the Sea,Michael O´Keefe
A Perfect Murder,Matthew Modine
A Perfect Murder,Sally Kirkland
A Perfect Murder,Jon Stewart
A Perfect Murder,Sinbad
Fools Rush In,Betsy Palmer
Fools Rush In,Henry Edwards
Fools Rush In,George 'Red' Schwartz
Fools Rush In,Margaret Langrick
Jezebel,Marlee Matlin
Jezebel,Jane Seymour
Jezebel,Michael Villella
Jezebel,Richard T. Jones
Stage Fright,Joel Grey
Stage Fright,Fay Compton
Stage Fright,Leslie Ash
Stage Fright,Robert Arkins
The Most Dangerous Game,Whitney Houston
The Most Dangerous Game,Maggie Q
The Most Dangerous Game,Kathy Long
The Most Dangerous Game,Wendy Hiller
Sister Act,James Stacy
Sister Act,Kim Miyori
Sister Act,Jack Lambert
Sister Act,Ernie Hudson
"""Bell",Susan Lynch
"""Bell",Nick Mancuso
"""Bell",Peter Stormare
"""Bell",Ann Dvorak
Lorenzo's Oil,Jean Yanne
Lorenzo's Oil,Arnold Schwarzenegger
Lorenzo's Oil,Lance Guest
Lorenzo's Oil,Yamil Borges
Hard Target,Richard Dust
Hard Target,Samantha Lavigne
Hard Target,Judi Bowker
Hard Target,Efrem Zimbalist Jr.
Jack & Sarah,John Cullum
Jack & Sarah,Ingrid Bergman
Jack & Sarah,John Lynch
Jack & Sarah,Lili St Cyr
Say Anything,Matt McCoy
Say Anything,Patrice Martinez
Say Anything,Peter O'Toole
Say Anything,Jeffrey Falcon
Infinity,Chelsea Field
Infinity,Nicolas Bro
Infinity,Vincent D'Onofrio
Infinity,Olivia de Havilland
Moonstruck,Dennis Price
Moonstruck,Nancy Travis
Savior,Kieran Culkin
Savior,Ursula Weiss
Savior,Terence Stamp
Savior,Gail Russell
The Real McCoy,Richard Donat
The Real McCoy,Glenn Quinn
The Real McCoy,Jay Patterson
The Real McCoy,Olivia de Havilland
Mr. Holland's Opus,Meg Foster
Mr. Holland's Opus,Matt McCoy
Mr. Holland's Opus,Kelly McGillis
Mr. Holland's Opus,Taylor Lautner
Addicted to Love,Sandra Bernhard
Addicted to Love,Bill Paxton
Addicted to Love,Peter Friedman
Addicted to Love,Peter Bogdanovich
While you were Sleeping,Tom Baker
While you were Sleeping,Bob Hope
While you were Sleeping,Greta Lind
While you were Sleeping,Joanne Samuel
Shattered,Ben Mendelsohn
Shattered,Patrice Martinez
Shattered,Tzi Ma
Shattered,Mary Stuart Masterson
Flirting with Disaster,Jack Nance
Flirting with Disaster,Kathleen Quinlan
Flirting with Disaster,Robert Logan
Flirting with Disaster,William Hartnell
Prizzi's Honor,Johnathon Schaech
Prizzi's Honor,Courtney B. Vance
Prizzi's Honor,Charles Ruggles
Prizzi's Honor,Christopher Stone
Nick of Time,Aldo Ray
Nick of Time,Kieran Culkin
Nick of Time,Michael Lonsdale
Nick of Time,James Whitmore
The Getaway,Gary Merrill
The Getaway,Lena Horne
The Getaway,Anna-Maria Monticelli
The Getaway,Juliette Binoche
Romeo is Bleeding,Samuel L. Jackson
Romeo is Bleeding,Natasha Wightman
Romeo is Bleeding,David Gallagher
Romeo is Bleeding,Liana Liberato
Wish You Were Here,Elton John
Wish You Were Here,Barbara Shelley
Wish You Were Here,Leib Lensky
Wish You Were Here,Joan Fontaine
Roustabout,Elton John
Roustabout,Ann Wedgeworth
Roustabout,Cesare Danova
Roustabout,William Daniels
Viva Las Vegas,Arnold Lucy
Viva Las Vegas,Kathryn Grayson
Viva Las Vegas,Darren Dalton
Viva Las Vegas,Sam Shepard
Raw Deal,Jason Beghe
Raw Deal,Chris Kattan
Raw Deal,Thomas Ian Griffith
Raw Deal,Alun Armstrong
American Pie,Dina Meyer
American Pie,Sydney Greenstreet
American Pie,Robert Montgomery
American Pie,Leo Gordon
Hot Enough for June,Steve Marachuk
Hot Enough for June,Victoria Medlin
Hot Enough for June,Richard Dust
Hot Enough for June,Mariette Hartley
L.A. Story,Emilie de Ravin
L.A. Story,Anthony LaPaglia
L.A. Story,Judd Hirsch
L.A. Story,Moira Shearer
The Breakfast Club,Ken Gampu
The Breakfast Club,Jack Weston
The Breakfast Club,Tom Welling
The Breakfast Club,Chris Stafford
Rush Hour,Mel Ferrer
Rush Hour,Koyuki
Rush Hour,Gregg Edelman
Rush Hour,Margot Kidder
Payback,Michael Ironside
Payback,Gemma Phoenix
Payback,Joan Hapkett
Payback,Michael Maloney
Light of Day,Russell Brand
Light of Day,Guy Madison
Light of Day,Kevin Smith
Light of Day,James Craig
L.A. Confidential,Tom Courtenay
L.A. Confidential,Robert Downey Jr.
L.A. Confidential,Nicole Beharie
L.A. Confidential,Randy Brooks
Days of Thunder,Rod Steiger
Days of Thunder,Alan Webb
Days of Thunder,Yves Lavigne
Days of Thunder,Sebastian Becker
The Time Machine,Talya Gordon
The Time Machine,Stefanie Powers
The Time Machine,Nguyen Ngoc Hiep
The Time Machine,Norman Bartold
Cleopatra Jones and the Casino of Gold,Sylva Koscina
Cleopatra Jones and the Casino of Gold,Harvey Fierstein
Cleopatra Jones and the Casino of Gold,Ray Bolger
Cleopatra Jones and the Casino of Gold,Robert Cummings
Cop Land,Robert Brown
Cop Land,Owen Wilson
Cop Land,Scott Caan
Cop Land,Louise Fletcher
Carla's Song,Richard Garland
Carla's Song,George Harrison
Carla's Song,Diane Ladd
Carla's Song,Bob Hope
The Cotton Club,Ryan O'Neal
The Cotton Club,Bruce Davison
The Cotton Club,Isabella Rossellini
The Cotton Club,Ronald Lewis
The Driver,William Hopper
The Driver,Milton Berle
The Driver,Heather Donahue
The Driver,LL Cool J
Lost in Space,Walter Matthau
Lost in Space,Joan Cusack
Lost in Space,Barbara Crampton
Lost in Space,Peter Lind Hayes
Voyage to the Bottom of the Sea,Stephen Baldwin
Voyage to the Bottom of the Sea,Raquel Torres
Voyage to the Bottom of the Sea,Edmond O'Brien
Voyage to the Bottom of the Sea,Donald O'Connor
Fantastic Voyage,Kurt Raab
Fantastic Voyage,J.L. Reate
Fantastic Voyage,Kathleen Harrison
Fantastic Voyage,M. Emmet Walsh
Breakdown,Kurt Raab
Breakdown,Alexis Arquette
Breakdown,Miles Mander
Breakdown,Leon M. Lion
Stargate,Helen Vinson
Stargate,Maria Doyle Kennedy
Stargate,Joey Ramone
Stargate,Akbar Kurtha
Heartbreak Hotel,David Michael Williamson
Heartbreak Hotel,George Wendt
Heartbreak Hotel,Sharon Tate
Heartbreak Hotel,Stephen Mendillo
Attack of the Killer Tomatoes!,Tilda Swinton
Attack of the Killer Tomatoes!,Renji Ishibashi
Attack of the Killer Tomatoes!,Stanley Swerdlow
Attack of the Killer Tomatoes!,Tom Selleck
Big Trouble,Rod Taylor
Big Trouble,Donald Calthrop
Big Trouble,Elsa Lancaster
Big Trouble,Elizabeth Reaser
Lassie Come Home,Gaylen Ross
Lassie Come Home,Jeff Fahey
Lassie Come Home,Damian Chapa
Lassie Come Home,Julie Bowen
"""Earth",Everett Sloane
"""Earth",Patrice Martinez
"""Earth",Nick Mancuso
"""Earth",Josh Albee
Nightwatch,Annette O`Toole
Nightwatch,Armand Assante
Nightwatch,Gérard Depardieu
Nightwatch,Horst Janson
Christine,Nicole Beharie
Christine,Bill Paxton
Christine,Aldo Ray
Christine,Bebe Daniels
Malice,Bella Randles
Malice,Jason James Richter
Malice,Joey Heatherton
Malice,Cary-Hiroyuki Tagawa
Chasing Amy,Jessica Harper
Chasing Amy,Armand Assante
Chasing Amy,Frederick Combs
Chasing Amy,Donald Gibb
Music Box,Charlie Chaplin
Music Box,Claire Bloom
Music Box,Robert Cummings
Music Box,Siegfried Rauch
Stardust,John Terry
Stardust,Madeleine Carroll
Stardust,Timothy Dalton
The General's Daughter,Robin Tunney
The General's Daughter,Sam Jaffe
The General's Daughter,Elvis Presley
The General's Daughter,Oliver Hardy
Bicentennial Man,Tom Guiry
Bicentennial Man,Elizabeth McGovern
Bicentennial Man,Robert Logan
Bicentennial Man,John Harkins
Big,Robin Tunney
Big,Armand Assante
Big,Hanna Schygulla
Big,Eva Green
Jakob the Liar,Tim Meadows
Jakob the Liar,Elizabeth Perkins
Jakob the Liar,Danielle von Zerneck
Jakob the Liar,Matt Clark
Jacob's Ladder,Brian Narelle
Jacob's Ladder,Jeannie Elias
Jacob's Ladder,Marilyn Eastman
Jacob's Ladder,Jason London
Clerks,Kevin Pollak
Clerks,Jason James Richter
Clerks,Jeremy Lloyd
Clerks,Jason London
Mallrats,Jeremy Davies
Mallrats,Theodore Bikel
Mallrats,Armand Assante
Mallrats,Joel Brooks
Kafka,Leo Fitzpatrick
Kafka,Eve Arden
Kafka,Lou Hancock
Kafka,Armand Assante
Avalon,Kurt Raab
Avalon,Steven Pasquale
Avalon,Oliver Platt
Avalon,Haley Joel Osment
Executive Decision,Michelle Monaghan
Executive Decision,Matthew McConaughey
Executive Decision,Oliver Hardy
Executive Decision,Aldo Ray
Married to the Mob,Robert Quarry
Married to the Mob,Sidney James
Married to the Mob,Damon Wimbley
Married to the Mob,David Spade
Sneakers,Kevin Conroy
Sneakers,James Duval
Sneakers,Amy Locane
Sneakers,Timothy Bottoms
Field of Dreams,Samuel West
Field of Dreams,Fritz Weaver
Field of Dreams,Marion Busia
Field of Dreams,Emma Danieli
Taxi,Patrice Martinez
Taxi,Joseph Fiennes
Taxi,Armand Assante
Taxi,Tasmin West
Holy Matrimony,Breckin Meyer
Holy Matrimony,Craig Chester
Holy Matrimony,Martin Balsam
